PA14,F22031,F23197,F30658,F34365,F5677,F63912,F9670,H27930,H47921,H5708,M1608,M37351,M55212,M74707,PA7,PAO1,S86968,T38079,T52373,T6313,T63266,W16407,W25637,W36662,W45909,W60856,W70332,W91453,X78812,X9820
fig|287.6656.peg.1747,fig|287.6613.peg.1784,fig|287.6611.peg.1702,fig|287.6614.peg.1792,fig|287.6616.peg.1746,fig|287.6612.peg.1852,fig|287.6618.peg.1739,fig|287.6615.peg.1722,fig|287.6617.peg.1735,fig|287.6621.peg.1837,fig|287.6619.peg.1680,fig|287.6622.peg.4300,fig|287.6623.peg.4769,fig|287.6624.peg.1791,fig|287.6625.peg.1778,fig|287.6657.peg.1780,fig|287.6655.peg.3506,fig|287.6631.peg.1813,fig|287.6628.peg.1708,fig|287.6632.peg.1688,fig|287.6629.peg.1823,fig|287.6635.peg.1688,fig|287.6633.peg.1863,fig|287.6634.peg.1796,fig|287.6637.peg.1878,fig|287.6636.peg.1779,fig|287.6620.peg.2229,fig|287.6630.peg.1702,fig|287.6639.peg.1793,fig|287.6638.peg.1707,fig|287.6627.peg.1671
fig|287.6656.peg.1749,fig|287.6613.peg.1787,fig|287.6611.peg.1705,fig|287.6614.peg.1795,fig|287.6616.peg.1749,fig|287.6612.peg.1855,fig|287.6618.peg.1742,fig|287.6615.peg.1725,fig|287.6617.peg.1738,fig|287.6621.peg.1839,fig|287.6619.peg.1682,fig|287.6622.peg.4298,fig|287.6623.peg.4767,fig|287.6624.peg.1794,fig|287.6625.peg.1781,fig|287.6657.peg.1782,fig|287.6655.peg.3503,fig|287.6631.peg.1816,fig|287.6628.peg.1711,fig|287.6632.peg.1690,fig|287.6629.peg.1827,fig|287.6635.peg.1691,fig|287.6633.peg.1866,fig|287.6634.peg.1799,fig|287.6637.peg.1880,fig|287.6636.peg.1782,fig|287.6620.peg.2283,fig|287.6630.peg.1705,fig|287.6639.peg.1796,fig|287.6638.peg.1710,fig|287.6627.peg.1674
fig|287.6656.peg.1752,fig|287.6613.peg.1790,fig|287.6611.peg.1708,fig|287.6614.peg.1798,fig|287.6616.peg.1752,fig|287.6612.peg.1858,fig|287.6618.peg.1745,fig|287.6615.peg.1727,fig|287.6617.peg.1741,fig|287.6621.peg.1842,fig|287.6619.peg.1685,fig|287.6622.peg.4295,fig|287.6623.peg.4764,fig|287.6624.peg.1797,fig|287.6625.peg.1784,fig|287.6657.peg.1785,fig|287.6655.peg.3500,fig|287.6631.peg.1819,fig|287.6628.peg.1714,fig|287.6632.peg.1693,fig|287.6629.peg.1830,fig|287.6635.peg.1694,fig|287.6633.peg.1869,fig|287.6634.peg.1802,fig|287.6637.peg.1883,fig|287.6636.peg.1785,fig|287.6620.peg.2286,fig|287.6630.peg.1708,fig|287.6639.peg.1799,fig|287.6638.peg.1713,fig|287.6627.peg.1677
fig|287.6656.peg.1754,fig|287.6613.peg.1792,fig|287.6611.peg.1710,fig|287.6614.peg.1800,fig|287.6616.peg.1754,fig|287.6612.peg.1860,fig|287.6618.peg.1747,fig|287.6615.peg.1730,fig|287.6617.peg.1743,fig|287.6621.peg.1844,fig|287.6619.peg.1687,fig|287.6622.peg.4293,fig|287.6623.peg.4762,fig|287.6624.peg.1799,fig|287.6625.peg.1786,fig|287.6657.peg.1787,fig|287.6655.peg.3498,fig|287.6631.peg.1821,fig|287.6628.peg.1716,fig|287.6632.peg.1695,fig|287.6629.peg.1832,fig|287.6635.peg.1696,fig|287.6633.peg.1871,fig|287.6634.peg.1804,fig|287.6637.peg.1885,fig|287.6636.peg.1787,fig|287.6620.peg.2288,fig|287.6630.peg.1710,fig|287.6639.peg.1801,fig|287.6638.peg.1715,fig|287.6627.peg.1679
fig|287.6656.peg.1755,fig|287.6613.peg.1793,fig|287.6611.peg.1711,fig|287.6614.peg.1801,fig|287.6616.peg.1755,fig|287.6612.peg.1861,fig|287.6618.peg.1748,fig|287.6615.peg.1731,fig|287.6617.peg.1744,fig|287.6621.peg.1845,fig|287.6619.peg.1688,fig|287.6622.peg.4292,fig|287.6623.peg.4761,fig|287.6624.peg.1800,fig|287.6625.peg.1787,fig|287.6657.peg.1788,fig|287.6655.peg.3497,fig|287.6631.peg.1822,fig|287.6628.peg.1717,fig|287.6632.peg.1696,fig|287.6629.peg.1833,fig|287.6635.peg.1697,fig|287.6633.peg.1872,fig|287.6634.peg.1805,fig|287.6637.peg.1886,fig|287.6636.peg.1788,fig|287.6620.peg.2289,fig|287.6630.peg.1711,fig|287.6639.peg.1802,fig|287.6638.peg.1716,fig|287.6627.peg.1680
fig|287.6656.peg.1757,fig|287.6613.peg.1795,fig|287.6611.peg.1713,fig|287.6614.peg.1803,fig|287.6616.peg.1757,fig|287.6612.peg.1863,fig|287.6618.peg.1750,fig|287.6615.peg.1733,fig|287.6617.peg.1746,fig|287.6621.peg.1847,fig|287.6619.peg.1690,fig|287.6622.peg.4290,fig|287.6623.peg.4759,fig|287.6624.peg.1802,fig|287.6625.peg.1789,fig|287.6657.peg.1790,fig|287.6655.peg.3495,fig|287.6631.peg.1824,fig|287.6628.peg.1719,fig|287.6632.peg.1698,fig|287.6629.peg.1835,fig|287.6635.peg.1700,fig|287.6633.peg.1874,fig|287.6634.peg.1807,fig|287.6637.peg.1888,fig|287.6636.peg.1790,fig|287.6620.peg.2291,fig|287.6630.peg.1713,fig|287.6639.peg.1804,fig|287.6638.peg.1718,fig|287.6627.peg.1682
fig|287.6656.peg.1758,fig|287.6613.peg.1796,fig|287.6611.peg.1714,fig|287.6614.peg.1804,fig|287.6616.peg.1758,fig|287.6612.peg.1864,fig|287.6618.peg.1751,fig|287.6615.peg.1734,fig|287.6617.peg.1747,fig|287.6621.peg.1848,fig|287.6619.peg.1691,fig|287.6622.peg.4289,fig|287.6623.peg.4758,fig|287.6624.peg.1803,fig|287.6625.peg.1790,fig|287.6657.peg.1791,fig|287.6655.peg.3494,fig|287.6631.peg.1825,fig|287.6628.peg.1720,fig|287.6632.peg.1699,fig|287.6629.peg.1836,fig|287.6635.peg.1701,fig|287.6633.peg.1875,fig|287.6634.peg.1808,fig|287.6637.peg.1889,fig|287.6636.peg.1791,fig|287.6620.peg.2292,fig|287.6630.peg.1714,fig|287.6639.peg.1805,fig|287.6638.peg.1719,fig|287.6627.peg.1683
fig|287.6656.peg.1759,fig|287.6613.peg.1797,fig|287.6611.peg.1715,fig|287.6614.peg.1806,fig|287.6616.peg.1759,fig|287.6612.peg.1866,fig|287.6618.peg.1752,fig|287.6615.peg.1735,fig|287.6617.peg.1748,fig|287.6621.peg.1849,fig|287.6619.peg.1692,fig|287.6622.peg.4287,fig|287.6623.peg.4756,fig|287.6624.peg.1805,fig|287.6625.peg.1791,fig|287.6657.peg.1792,fig|287.6655.peg.3493,fig|287.6631.peg.1827,fig|287.6628.peg.1721,fig|287.6632.peg.1700,fig|287.6629.peg.1838,fig|287.6635.peg.1702,fig|287.6633.peg.1877,fig|287.6634.peg.1810,fig|287.6637.peg.1890,fig|287.6636.peg.1792,fig|287.6620.peg.2293,fig|287.6630.peg.1715,fig|287.6639.peg.1807,fig|287.6638.peg.1720,fig|287.6627.peg.1684
fig|287.6656.peg.1760,fig|287.6613.peg.1798,fig|287.6611.peg.1716,fig|287.6614.peg.1807,fig|287.6616.peg.1760,fig|287.6612.peg.1867,fig|287.6618.peg.1753,fig|287.6615.peg.1736,fig|287.6617.peg.1749,fig|287.6621.peg.1850,fig|287.6619.peg.1693,fig|287.6622.peg.4286,fig|287.6623.peg.4755,fig|287.6624.peg.1806,fig|287.6625.peg.1792,fig|287.6657.peg.1793,fig|287.6655.peg.3492,fig|287.6631.peg.1828,fig|287.6628.peg.1722,fig|287.6632.peg.1701,fig|287.6629.peg.1839,fig|287.6635.peg.1703,fig|287.6633.peg.1878,fig|287.6634.peg.1811,fig|287.6637.peg.1891,fig|287.6636.peg.1793,fig|287.6620.peg.2294,fig|287.6630.peg.1716,fig|287.6639.peg.1808,fig|287.6638.peg.1721,fig|287.6627.peg.1685
fig|287.6656.peg.1762,fig|287.6613.peg.1801,fig|287.6611.peg.1719,fig|287.6614.peg.1809,fig|287.6616.peg.1762,fig|287.6612.peg.1869,fig|287.6618.peg.1756,fig|287.6615.peg.1739,fig|287.6617.peg.1752,fig|287.6621.peg.1852,fig|287.6619.peg.1695,fig|287.6622.peg.4283,fig|287.6623.peg.4752,fig|287.6624.peg.1808,fig|287.6625.peg.1794,fig|287.6657.peg.1795,fig|287.6655.peg.3489,fig|287.6631.peg.1831,fig|287.6628.peg.1725,fig|287.6632.peg.1703,fig|287.6629.peg.1842,fig|287.6635.peg.1706,fig|287.6633.peg.1881,fig|287.6634.peg.1813,fig|287.6637.peg.1893,fig|287.6636.peg.1796,fig|287.6620.peg.2296,fig|287.6630.peg.1718,fig|287.6639.peg.1810,fig|287.6638.peg.1724,fig|287.6627.peg.1687
fig|287.6656.peg.1763,fig|287.6613.peg.1802,fig|287.6611.peg.1720,fig|287.6614.peg.1810,fig|287.6616.peg.1763,fig|287.6612.peg.1870,fig|287.6618.peg.1757,fig|287.6615.peg.1740,fig|287.6617.peg.1753,fig|287.6621.peg.1853,fig|287.6619.peg.1696,fig|287.6622.peg.4282,fig|287.6623.peg.4751,fig|287.6624.peg.1809,fig|287.6625.peg.1795,fig|287.6657.peg.1796,fig|287.6655.peg.3488,fig|287.6631.peg.1832,fig|287.6628.peg.1726,fig|287.6632.peg.1704,fig|287.6629.peg.1843,fig|287.6635.peg.1707,fig|287.6633.peg.1882,fig|287.6634.peg.1814,fig|287.6637.peg.1894,fig|287.6636.peg.1797,fig|287.6620.peg.2297,fig|287.6630.peg.1719,fig|287.6639.peg.1811,fig|287.6638.peg.1725,fig|287.6627.peg.1688
fig|287.6656.peg.1764,fig|287.6613.peg.1803,fig|287.6611.peg.1721,fig|287.6614.peg.1811,fig|287.6616.peg.1764,fig|287.6612.peg.1871,fig|287.6618.peg.1758,fig|287.6615.peg.1741,fig|287.6617.peg.1754,fig|287.6621.peg.1854,fig|287.6619.peg.1697,fig|287.6622.peg.4281,fig|287.6623.peg.4750,fig|287.6624.peg.1810,fig|287.6625.peg.1796,fig|287.6657.peg.1797,fig|287.6655.peg.3487,fig|287.6631.peg.1833,fig|287.6628.peg.1727,fig|287.6632.peg.1705,fig|287.6629.peg.1844,fig|287.6635.peg.1708,fig|287.6633.peg.1883,fig|287.6634.peg.1815,fig|287.6637.peg.1895,fig|287.6636.peg.1798,fig|287.6620.peg.2298,fig|287.6630.peg.1720,fig|287.6639.peg.1812,fig|287.6638.peg.1726,fig|287.6627.peg.1689
fig|287.6656.peg.1770,fig|287.6613.peg.1808,fig|287.6611.peg.1726,fig|287.6614.peg.1816,fig|287.6616.peg.1769,fig|287.6612.peg.1876,fig|287.6618.peg.1763,fig|287.6615.peg.1747,fig|287.6617.peg.1758,fig|287.6621.peg.1859,fig|287.6619.peg.1702,fig|287.6622.peg.4275,fig|287.6623.peg.4744,fig|287.6624.peg.1816,fig|287.6625.peg.1801,fig|287.6657.peg.1798,fig|287.6655.peg.3482,fig|287.6631.peg.1838,fig|287.6628.peg.1733,fig|287.6632.peg.1709,fig|287.6629.peg.1849,fig|287.6635.peg.1713,fig|287.6633.peg.1889,fig|287.6634.peg.1821,fig|287.6637.peg.1900,fig|287.6636.peg.1803,fig|287.6620.peg.2303,fig|287.6630.peg.1724,fig|287.6639.peg.1818,fig|287.6638.peg.1733,fig|287.6627.peg.1694
fig|287.6656.peg.1771,fig|287.6613.peg.1809,fig|287.6611.peg.1727,fig|287.6614.peg.1817,fig|287.6616.peg.1770,fig|287.6612.peg.1877,fig|287.6618.peg.1764,fig|287.6615.peg.1748,fig|287.6617.peg.1759,fig|287.6621.peg.1860,fig|287.6619.peg.1703,fig|287.6622.peg.4274,fig|287.6623.peg.4743,fig|287.6624.peg.1817,fig|287.6625.peg.1802,fig|287.6657.peg.1799,fig|287.6655.peg.3481,fig|287.6631.peg.1839,fig|287.6628.peg.1734,fig|287.6632.peg.1710,fig|287.6629.peg.1850,fig|287.6635.peg.1714,fig|287.6633.peg.1890,fig|287.6634.peg.1822,fig|287.6637.peg.1901,fig|287.6636.peg.1804,fig|287.6620.peg.2304,fig|287.6630.peg.1725,fig|287.6639.peg.1819,fig|287.6638.peg.1734,fig|287.6627.peg.1695
fig|287.6656.peg.1772,fig|287.6613.peg.1810,fig|287.6611.peg.1728,fig|287.6614.peg.1818,fig|287.6616.peg.1771,fig|287.6612.peg.1878,fig|287.6618.peg.1765,fig|287.6615.peg.1749,fig|287.6617.peg.1760,fig|287.6621.peg.1861,fig|287.6619.peg.1704,fig|287.6622.peg.4273,fig|287.6623.peg.4742,fig|287.6624.peg.1818,fig|287.6625.peg.1803,fig|287.6657.peg.1800,fig|287.6655.peg.3480,fig|287.6631.peg.1840,fig|287.6628.peg.1735,fig|287.6632.peg.1711,fig|287.6629.peg.1851,fig|287.6635.peg.1715,fig|287.6633.peg.1891,fig|287.6634.peg.1823,fig|287.6637.peg.1902,fig|287.6636.peg.1805,fig|287.6620.peg.2305,fig|287.6630.peg.1726,fig|287.6639.peg.1820,fig|287.6638.peg.1735,fig|287.6627.peg.1696
fig|287.6656.peg.1773,fig|287.6613.peg.1811,fig|287.6611.peg.1729,fig|287.6614.peg.1819,fig|287.6616.peg.1772,fig|287.6612.peg.1879,fig|287.6618.peg.1766,fig|287.6615.peg.1750,fig|287.6617.peg.1761,fig|287.6621.peg.1862,fig|287.6619.peg.1705,fig|287.6622.peg.4272,fig|287.6623.peg.4741,fig|287.6624.peg.1819,fig|287.6625.peg.1804,fig|287.6657.peg.1801,fig|287.6655.peg.3479,fig|287.6631.peg.1841,fig|287.6628.peg.1736,fig|287.6632.peg.1712,fig|287.6629.peg.1852,fig|287.6635.peg.1716,fig|287.6633.peg.1892,fig|287.6634.peg.1824,fig|287.6637.peg.1903,fig|287.6636.peg.1806,fig|287.6620.peg.2306,fig|287.6630.peg.1727,fig|287.6639.peg.1821,fig|287.6638.peg.1736,fig|287.6627.peg.1697
fig|287.6656.peg.1774,fig|287.6613.peg.1812,fig|287.6611.peg.1730,fig|287.6614.peg.1820,fig|287.6616.peg.1773,fig|287.6612.peg.1880,fig|287.6618.peg.1767,fig|287.6615.peg.1751,fig|287.6617.peg.1762,fig|287.6621.peg.1863,fig|287.6619.peg.1706,fig|287.6622.peg.4271,fig|287.6623.peg.4740,fig|287.6624.peg.1820,fig|287.6625.peg.1805,fig|287.6657.peg.1802,fig|287.6655.peg.3478,fig|287.6631.peg.1842,fig|287.6628.peg.1737,fig|287.6632.peg.1713,fig|287.6629.peg.1853,fig|287.6635.peg.1717,fig|287.6633.peg.1893,fig|287.6634.peg.1825,fig|287.6637.peg.1904,fig|287.6636.peg.1807,fig|287.6620.peg.2307,fig|287.6630.peg.1728,fig|287.6639.peg.1822,fig|287.6638.peg.1737,fig|287.6627.peg.1698
fig|287.6656.peg.1775,fig|287.6613.peg.1813,fig|287.6611.peg.1731,fig|287.6614.peg.1821,fig|287.6616.peg.1774,fig|287.6612.peg.1881,fig|287.6618.peg.1768,fig|287.6615.peg.1752,fig|287.6617.peg.1763,fig|287.6621.peg.1864,fig|287.6619.peg.1707,fig|287.6622.peg.4270,fig|287.6623.peg.4739,fig|287.6624.peg.1821,fig|287.6625.peg.1806,fig|287.6657.peg.1803,fig|287.6655.peg.3477,fig|287.6631.peg.1843,fig|287.6628.peg.1738,fig|287.6632.peg.1714,fig|287.6629.peg.1854,fig|287.6635.peg.1718,fig|287.6633.peg.1894,fig|287.6634.peg.1826,fig|287.6637.peg.1905,fig|287.6636.peg.1808,fig|287.6620.peg.2308,fig|287.6630.peg.1729,fig|287.6639.peg.1823,fig|287.6638.peg.1738,fig|287.6627.peg.1699
fig|287.6656.peg.1777,fig|287.6613.peg.1815,fig|287.6611.peg.1733,fig|287.6614.peg.1823,fig|287.6616.peg.1776,fig|287.6612.peg.1883,fig|287.6618.peg.1770,fig|287.6615.peg.1754,fig|287.6617.peg.1765,fig|287.6621.peg.1866,fig|287.6619.peg.1709,fig|287.6622.peg.4268,fig|287.6623.peg.4737,fig|287.6624.peg.1823,fig|287.6625.peg.1808,fig|287.6657.peg.1804,fig|287.6655.peg.3475,fig|287.6631.peg.1845,fig|287.6628.peg.1740,fig|287.6632.peg.1716,fig|287.6629.peg.1856,fig|287.6635.peg.1720,fig|287.6633.peg.1896,fig|287.6634.peg.1828,fig|287.6637.peg.1907,fig|287.6636.peg.1810,fig|287.6620.peg.2310,fig|287.6630.peg.1731,fig|287.6639.peg.1825,fig|287.6638.peg.1740,fig|287.6627.peg.1701
fig|287.6656.peg.1778,fig|287.6613.peg.1816,fig|287.6611.peg.1734,fig|287.6614.peg.1824,fig|287.6616.peg.1777,fig|287.6612.peg.1884,fig|287.6618.peg.1771,fig|287.6615.peg.1755,fig|287.6617.peg.1766,fig|287.6621.peg.1867,fig|287.6619.peg.1710,fig|287.6622.peg.4267,fig|287.6623.peg.4736,fig|287.6624.peg.1824,fig|287.6625.peg.1809,fig|287.6657.peg.1805,fig|287.6655.peg.3474,fig|287.6631.peg.1846,fig|287.6628.peg.1741,fig|287.6632.peg.1717,fig|287.6629.peg.1857,fig|287.6635.peg.1721,fig|287.6633.peg.1897,fig|287.6634.peg.1829,fig|287.6637.peg.1908,fig|287.6636.peg.1811,fig|287.6620.peg.2311,fig|287.6630.peg.1732,fig|287.6639.peg.1826,fig|287.6638.peg.1741,fig|287.6627.peg.1702
fig|287.6656.peg.1779,fig|287.6613.peg.1817,fig|287.6611.peg.1735,fig|287.6614.peg.1825,fig|287.6616.peg.1778,fig|287.6612.peg.1885,fig|287.6618.peg.1772,fig|287.6615.peg.1756,fig|287.6617.peg.1767,fig|287.6621.peg.1868,fig|287.6619.peg.1711,fig|287.6622.peg.4266,fig|287.6623.peg.4735,fig|287.6624.peg.1825,fig|287.6625.peg.1810,fig|287.6657.peg.1806,fig|287.6655.peg.3473,fig|287.6631.peg.1847,fig|287.6628.peg.1742,fig|287.6632.peg.1718,fig|287.6629.peg.1858,fig|287.6635.peg.1722,fig|287.6633.peg.1898,fig|287.6634.peg.1830,fig|287.6637.peg.1909,fig|287.6636.peg.1812,fig|287.6620.peg.2312,fig|287.6630.peg.1733,fig|287.6639.peg.1827,fig|287.6638.peg.1742,fig|287.6627.peg.1703
fig|287.6656.peg.1780,fig|287.6613.peg.1818,fig|287.6611.peg.1736,fig|287.6614.peg.1826,fig|287.6616.peg.1779,fig|287.6612.peg.1886,fig|287.6618.peg.1773,fig|287.6615.peg.1757,fig|287.6617.peg.1768,fig|287.6621.peg.1869,fig|287.6619.peg.1712,fig|287.6622.peg.4265,fig|287.6623.peg.4734,fig|287.6624.peg.1826,fig|287.6625.peg.1811,fig|287.6657.peg.1807,fig|287.6655.peg.3472,fig|287.6631.peg.1848,fig|287.6628.peg.1743,fig|287.6632.peg.1719,fig|287.6629.peg.1859,fig|287.6635.peg.1723,fig|287.6633.peg.1899,fig|287.6634.peg.1831,fig|287.6637.peg.1910,fig|287.6636.peg.1813,fig|287.6620.peg.2313,fig|287.6630.peg.1734,fig|287.6639.peg.1828,fig|287.6638.peg.1743,fig|287.6627.peg.1704
fig|287.6656.peg.1781,fig|287.6613.peg.1819,fig|287.6611.peg.1737,fig|287.6614.peg.1827,fig|287.6616.peg.1780,fig|287.6612.peg.1887,fig|287.6618.peg.1774,fig|287.6615.peg.1758,fig|287.6617.peg.1769,fig|287.6621.peg.1870,fig|287.6619.peg.1713,fig|287.6622.peg.4264,fig|287.6623.peg.4733,fig|287.6624.peg.1827,fig|287.6625.peg.1812,fig|287.6657.peg.1808,fig|287.6655.peg.3471,fig|287.6631.peg.1849,fig|287.6628.peg.1744,fig|287.6632.peg.1720,fig|287.6629.peg.1860,fig|287.6635.peg.1724,fig|287.6633.peg.1900,fig|287.6634.peg.1832,fig|287.6637.peg.1911,fig|287.6636.peg.1814,fig|287.6620.peg.2314,fig|287.6630.peg.1735,fig|287.6639.peg.1829,fig|287.6638.peg.1744,fig|287.6627.peg.1705
fig|287.6656.peg.1782,fig|287.6613.peg.1821,fig|287.6611.peg.1739,fig|287.6614.peg.1828,fig|287.6616.peg.1782,fig|287.6612.peg.1888,fig|287.6618.peg.1776,fig|287.6615.peg.1760,fig|287.6617.peg.1771,fig|287.6621.peg.1872,fig|287.6619.peg.1715,fig|287.6622.peg.4263,fig|287.6623.peg.4732,fig|287.6624.peg.1828,fig|287.6625.peg.1814,fig|287.6657.peg.1809,fig|287.6655.peg.3469,fig|287.6631.peg.1851,fig|287.6628.peg.1746,fig|287.6632.peg.1722,fig|287.6629.peg.1862,fig|287.6635.peg.1726,fig|287.6633.peg.1902,fig|287.6634.peg.1833,fig|287.6637.peg.1913,fig|287.6636.peg.1816,fig|287.6620.peg.2316,fig|287.6630.peg.1737,fig|287.6639.peg.1830,fig|287.6638.peg.1745,fig|287.6627.peg.1707
fig|287.6656.peg.1783,fig|287.6613.peg.1822,fig|287.6611.peg.1740,fig|287.6614.peg.1829,fig|287.6616.peg.1783,fig|287.6612.peg.1889,fig|287.6618.peg.1777,fig|287.6615.peg.1761,fig|287.6617.peg.1772,fig|287.6621.peg.1873,fig|287.6619.peg.1716,fig|287.6622.peg.4262,fig|287.6623.peg.4731,fig|287.6624.peg.1829,fig|287.6625.peg.1815,fig|287.6657.peg.1810,fig|287.6655.peg.3468,fig|287.6631.peg.1852,fig|287.6628.peg.1747,fig|287.6632.peg.1723,fig|287.6629.peg.1863,fig|287.6635.peg.1727,fig|287.6633.peg.1903,fig|287.6634.peg.1834,fig|287.6637.peg.1914,fig|287.6636.peg.1817,fig|287.6620.peg.2317,fig|287.6630.peg.1738,fig|287.6639.peg.1831,fig|287.6638.peg.1746,fig|287.6627.peg.1708
fig|287.6656.peg.1784,fig|287.6613.peg.1823,fig|287.6611.peg.1741,fig|287.6614.peg.1830,fig|287.6616.peg.1784,fig|287.6612.peg.1890,fig|287.6618.peg.1778,fig|287.6615.peg.1762,fig|287.6617.peg.1773,fig|287.6621.peg.1874,fig|287.6619.peg.1717,fig|287.6622.peg.4261,fig|287.6623.peg.4730,fig|287.6624.peg.1830,fig|287.6625.peg.1816,fig|287.6657.peg.1811,fig|287.6655.peg.3467,fig|287.6631.peg.1853,fig|287.6628.peg.1748,fig|287.6632.peg.1724,fig|287.6629.peg.1864,fig|287.6635.peg.1728,fig|287.6633.peg.1904,fig|287.6634.peg.1835,fig|287.6637.peg.1915,fig|287.6636.peg.1818,fig|287.6620.peg.2318,fig|287.6630.peg.1739,fig|287.6639.peg.1832,fig|287.6638.peg.1747,fig|287.6627.peg.1709
fig|287.6656.peg.1785,fig|287.6613.peg.1824,fig|287.6611.peg.1742,fig|287.6614.peg.1831,fig|287.6616.peg.1785,fig|287.6612.peg.1891,fig|287.6618.peg.1779,fig|287.6615.peg.1763,fig|287.6617.peg.1774,fig|287.6621.peg.1875,fig|287.6619.peg.1718,fig|287.6622.peg.4260,fig|287.6623.peg.4729,fig|287.6624.peg.1831,fig|287.6625.peg.1817,fig|287.6657.peg.1812,fig|287.6655.peg.3466,fig|287.6631.peg.1854,fig|287.6628.peg.1749,fig|287.6632.peg.1725,fig|287.6629.peg.1865,fig|287.6635.peg.1729,fig|287.6633.peg.1905,fig|287.6634.peg.1836,fig|287.6637.peg.1916,fig|287.6636.peg.1819,fig|287.6620.peg.2319,fig|287.6630.peg.1740,fig|287.6639.peg.1833,fig|287.6638.peg.1748,fig|287.6627.peg.1710
fig|287.6656.peg.1786,fig|287.6613.peg.1825,fig|287.6611.peg.1743,fig|287.6614.peg.1832,fig|287.6616.peg.1786,fig|287.6612.peg.1892,fig|287.6618.peg.1780,fig|287.6615.peg.1764,fig|287.6617.peg.1775,fig|287.6621.peg.1876,fig|287.6619.peg.1719,fig|287.6622.peg.4259,fig|287.6623.peg.4728,fig|287.6624.peg.1832,fig|287.6625.peg.1818,fig|287.6657.peg.1813,fig|287.6655.peg.3465,fig|287.6631.peg.1855,fig|287.6628.peg.1750,fig|287.6632.peg.1726,fig|287.6629.peg.1866,fig|287.6635.peg.1730,fig|287.6633.peg.1906,fig|287.6634.peg.1837,fig|287.6637.peg.1917,fig|287.6636.peg.1820,fig|287.6620.peg.2320,fig|287.6630.peg.1741,fig|287.6639.peg.1834,fig|287.6638.peg.1749,fig|287.6627.peg.1711
fig|287.6656.peg.1787,fig|287.6613.peg.1826,fig|287.6611.peg.1744,fig|287.6614.peg.1833,fig|287.6616.peg.1787,fig|287.6612.peg.1893,fig|287.6618.peg.1781,fig|287.6615.peg.1765,fig|287.6617.peg.1776,fig|287.6621.peg.1877,fig|287.6619.peg.1720,fig|287.6622.peg.4258,fig|287.6623.peg.4727,fig|287.6624.peg.1833,fig|287.6625.peg.1819,fig|287.6657.peg.1814,fig|287.6655.peg.3464,fig|287.6631.peg.1856,fig|287.6628.peg.1751,fig|287.6632.peg.1727,fig|287.6629.peg.1867,fig|287.6635.peg.1731,fig|287.6633.peg.1907,fig|287.6634.peg.1838,fig|287.6637.peg.1918,fig|287.6636.peg.1821,fig|287.6620.peg.2321,fig|287.6630.peg.1742,fig|287.6639.peg.1835,fig|287.6638.peg.1750,fig|287.6627.peg.1712
fig|287.6656.peg.1788,fig|287.6613.peg.1827,fig|287.6611.peg.1745,fig|287.6614.peg.1834,fig|287.6616.peg.1788,fig|287.6612.peg.1894,fig|287.6618.peg.1782,fig|287.6615.peg.1766,fig|287.6617.peg.1777,fig|287.6621.peg.1878,fig|287.6619.peg.1721,fig|287.6622.peg.4257,fig|287.6623.peg.4726,fig|287.6624.peg.1834,fig|287.6625.peg.1820,fig|287.6657.peg.1815,fig|287.6655.peg.3463,fig|287.6631.peg.1857,fig|287.6628.peg.1752,fig|287.6632.peg.1728,fig|287.6629.peg.1868,fig|287.6635.peg.1732,fig|287.6633.peg.1908,fig|287.6634.peg.1839,fig|287.6637.peg.1919,fig|287.6636.peg.1822,fig|287.6620.peg.2322,fig|287.6630.peg.1743,fig|287.6639.peg.1836,fig|287.6638.peg.1751,fig|287.6627.peg.1713
fig|287.6656.peg.1790,fig|287.6613.peg.1829,fig|287.6611.peg.1747,fig|287.6614.peg.1837,fig|287.6616.peg.1790,fig|287.6612.peg.1896,fig|287.6618.peg.1784,fig|287.6615.peg.1768,fig|287.6617.peg.1779,fig|287.6621.peg.1880,fig|287.6619.peg.1723,fig|287.6622.peg.4255,fig|287.6623.peg.4724,fig|287.6624.peg.1836,fig|287.6625.peg.1822,fig|287.6657.peg.1817,fig|287.6655.peg.3461,fig|287.6631.peg.1859,fig|287.6628.peg.1754,fig|287.6632.peg.1730,fig|287.6629.peg.1870,fig|287.6635.peg.1734,fig|287.6633.peg.1911,fig|287.6634.peg.1841,fig|287.6637.peg.1921,fig|287.6636.peg.1824,fig|287.6620.peg.2324,fig|287.6630.peg.1745,fig|287.6639.peg.1838,fig|287.6638.peg.1753,fig|287.6627.peg.1715
