"","ID","locus","Gene"
"2049","PGD1654984","PA14_25640","plsX"
"2050","PGD1654986","PA14_25650","fabD_2"
"2051","PGD1654988","PA14_25660","fabG_4"
"2052","PGD1654990","PA14_25670","acpP_2"
"2053","PGD1654992","PA14_25690","fabF_1"
"2054","PGD1654994","PA14_25710","pabC"
"2055","PGD1654996","PA14_25730","mltG"
"2056","PGD1654998","PA14_25740","tmk"
"2057","PGD1655000","PA14_25760","holB"
"2058","PGD1655002","PA14_25770","group_9402"
"2059","PGD1655004","PA14_25780","ycfH"
"2060","PGD1655006","PA14_25790","sufS_2"
"2061","PGD1655008","PA14_25800","group_2301"
"2062","PGD1655010","PA14_25810","group_1182"
"2063","PGD1655012","PA14_25820","group_9999"
"2064","PGD1655014","PA14_25830","group_12645"
"2065","PGD1655016","PA14_25840","group_11644"
"2066","PGD1655018","PA14_25860","etfB"
"2067","PGD1655020","PA14_25880","etfA"
"2068","PGD1655022","PA14_25900","fabV"
"2069","PGD1655024","PA14_25910","lip3"
"2070","PGD1655026","PA14_25920","cobM"
"2071","PGD1655028","PA14_25930","cbiG"
"2072","PGD1655030","PA14_25940","group_2303"
"2073","PGD1655032","PA14_25960","yjiA_1"
"2074","PGD1655034","PA14_25970","cobN"
"2075","PGD1655036","PA14_25980","aroF_1"
"2076","PGD1655038","PA14_25990","bchI"
"2077","PGD1655040","PA14_26000","group_2305"
"2078","PGD1655042","PA14_26010","fadA_3"
"2079","PGD1655044","PA14_26020","lap"
"2080","PGD1655046","PA14_26050","uacT_1"
"2081","PGD1655048","PA14_26060","group_2307"
"2082","PGD1655050","PA14_26070","group_304"
"2083","PGD1655052","PA14_26080","group_2308"
"2084","PGD1655054","PA14_26090","group_10674"
"2085","PGD1655056","PA14_26110","pbuE_2"
"2086","PGD1655058","PA14_26130","nemA_1"
"2087","PGD1655060","PA14_26140","comR_1"
"2088","PGD1655062","PA14_26150","trpI_2"
"2089","PGD1655064","PA14_26160","rhtC_1"
"2090","PGD1655066","PA14_26165","group_1187"
"2091","PGD1655068","PA14_26190","group_11539"
"2092","PGD1655070","PA14_26200","group_7982"
"2093","PGD1655072","PA14_26210","hisP_1"
"2094","PGD1655074","PA14_26220","hisM"
"2095","PGD1655076","PA14_26230","hisQ_1"
"2096","PGD1655078","PA14_26240","hisJ"
"2097","PGD1655080","PA14_26260","hipO_1"
"2098","PGD1655082","PA14_26270","argP_1"
"2099","PGD1655084","PA14_26280","group_2309"
"2100","PGD1655086","PA14_26300","group_1188"
"2101","PGD1655088","PA14_26310","fabG_5"
"2102","PGD1655090","PA14_26330","rhaS_4"
"2103","PGD1655092","PA14_26340","rhtB_1"
"2104","PGD1655094","PA14_26350","group_9736"
"2105","PGD1655096","PA14_26360","hmuU_1"
"2106","PGD1655098","PA14_26390","btuF_2"
"2107","PGD1655100","PA14_26400","fhuC"
"2108","PGD1655102","PA14_26420","cntO_3"
"2109","PGD1655104","PA14_26450","mntP"
"2110","PGD1655106","PA14_26460","cobK"
"2111","PGD1655108","PA14_26470","cbiD"
"2112","PGD1655110","PA14_26480","cobL"
"2113","PGD1655112","PA14_26485","sir_2"
"2114","PGD1655114","PA14_26500","cobH"
"2115","PGD1655116","PA14_26510","cobI"
"2116","PGD1655118","PA14_26530","cysG_2"
"2117","PGD1655120","PA14_26540","group_9809"
"2118","PGD1655122","PA14_26550","group_2313"
"2119","PGD1655124","PA14_26560","pal_3"
"2120","PGD1655126","PA14_26570","rcsB_3"
"2121","PGD1655128","PA14_26580","group_1189"
"2122","PGD1655130","PA14_26590","norG_2"
"2123","PGD1655132","PA14_26600","algU_1"
"2124","PGD1655134","PA14_26610","group_2316"
"2125","PGD1655136","PA14_26620","group_10919"
"2126","PGD1655138","PA14_26640","caiC"
"2127","PGD1655140","PA14_26650","group_10888"
"2128","PGD1655142","PA14_26670","accA1_1"
"2129","PGD1655144","PA14_26690","fadB_2"
"2130","PGD1655146","PA14_26700","acdA_1"
"2131","PGD1655148","PA14_26720","pccB"
"2132","PGD1655150","PA14_26730","fadH_2"
"2133","PGD1655152","PA14_26750","group_11285"
"2134","PGD1655154","PA14_26760","kstR2"
"2135","PGD1655156","PA14_26770","group_2319"
"2136","PGD1655158","PA14_26780","group_12717"
"2137","PGD1655160","PA14_26810","sasA_7"
"2138","PGD1655162","PA14_26830","group_9781"
"2139","PGD1655164","PA14_26850","group_2321"
"2140","PGD1655166","PA14_26860","yahB"
"2141","PGD1655168","PA14_26870","group_1190"
"2142","PGD1655170","PA14_26880","pgrR_2"
"2143","PGD1655172","PA14_26890","pyrF"
"2144","PGD1655174","PA14_26910","group_11430"
"2145","PGD1655176","PA14_26920","group_7440"
"2146","PGD1655178","PA14_26930","tgpA"
"2147","PGD1655180","PA14_26940","group_12288"
"2148","PGD1655182","PA14_26960","group_10380"
"2149","PGD1655184","PA14_26970","group_11274"
"2150","PGD1655186","PA14_26980","group_2323"
"2151","PGD1655188","PA14_26990","group_12727"
"2152","PGD1655190","PA14_27000","mcpQ_1"
"2153","PGD1655192","PA14_27020","tatD"
"2154","PGD1655194","PA14_27050","mltF_3"
"2155","PGD1655196","PA14_27070","mhqP"
"2156","PGD1655198","PA14_27090","lifO"
"2157","PGD1655200","PA14_27100","lip_1"
"2158","PGD1655202","PA14_27110","thpR"
"2159","PGD1655204","PA14_27120","group_2326"
"2160","PGD1655206","PA14_27130","greB"
"2161","PGD1655208","PA14_27140","group_11368"
"2162","PGD1655210","PA14_27150","lolD_2"
"2163","PGD1655212","PA14_27160","tesA"
"2164","PGD1655214","PA14_27170","group_9206"
"2165","PGD1655216","PA14_27180","ybiS"
"2166","PGD1655220","PA14_27200","group_12572"
"2167","PGD1655222","PA14_27210","efp"
"2168","PGD1655224","PA14_27220","ohrB"
"2169","PGD1655226","PA14_27230","ohrR"
"2170","PGD1655228","PA14_27250","dmlR_11"
"2171","PGD1655230","PA14_27270","group_10192"
"2172","PGD1655232","PA14_27280","hdfR_2"
"2173","PGD1655234","PA14_27290","group_3743"
"2174","PGD1655236","PA14_27310","group_9699"
"2175","PGD1655238","PA14_27330","aroH_2"
"2176","PGD1655240","PA14_27350","speE_1"
"2177","PGD1655242","PA14_27360","group_7983"
"2178","PGD1655244","PA14_27370","deaD_2"
"2179","PGD1655246","PA14_27390","ygiD"
"2180","PGD1655248","PA14_27400","dmlR_12"
"2181","PGD1655250","PA14_27410","oprM_4"
"2182","PGD1655252","PA14_27420","emrA_2"
"2183","PGD1655254","PA14_27430","farB_1"
"2184","PGD1655256","PA14_27440","group_3413"
"2185","PGD1655258","PA14_27450","group_11924"
"2186","PGD1655260","PA14_27460","tpm"
"2187","PGD1655262","PA14_27470","group_9917"
"2188","PGD1655264","PA14_27480","htpX_1"
"2189","PGD1655266","PA14_27490","group_2330"
"2190","PGD1655268","PA14_27500","alaA"
"2191","PGD1655270","PA14_27510","msrB"
"2192","PGD1655272","PA14_27520","gpx1"
"2193","PGD1655274","PA14_27530","group_12660"
"2194","PGD1655276","PA14_27550","rcsC_8"
"2195","PGD1655278","PA14_27560","group_2333"
"2196","PGD1655280","PA14_27570","msrC"
"2197","PGD1655282","PA14_27580","sspA_1"
"2198","PGD1655284","PA14_27590","group_9989"
"2199","PGD1655292","PA14_27630","group_5394"
"2200","PGD1655294","PA14_27640","group_5395"
"2201","PGD1655296","PA14_27650","group_5396"
"2202","PGD1655298","PA14_27660","group_5397"
"2203","PGD1655300","PA14_27675","group_5398"
"2204","PGD1655302","PA14_27680","group_8123"
"2205","PGD1655304","PA14_27690","group_5400"
"2206","PGD1655306","PA14_27700","group_5401"
"2207","PGD1655308","PA14_27710","group_10582"
"2208","PGD1655310","PA14_27720","group_10792"
"2209","PGD1655312","PA14_27730","fadE"
"2210","PGD1655314","PA14_27740","group_3745"
"2211","PGD1655316","PA14_27755","gstB_1"
"2212","PGD1655318","PA14_27770","yadG"
"2213","PGD1655320","PA14_27780","yadH"
"2214","PGD1655322","PA14_27800","sasA_8"
"2215","PGD1655324","PA14_27810","copR"
"2216","PGD1655326","PA14_27830","group_9344"
"2217","PGD1655328","PA14_27840","group_2334"
"2218","PGD1655330","PA14_27850","queF"
"2219","PGD1655332","PA14_27870","group_12285"
"2220","PGD1655334","PA14_27880","group_10279"
"2221","PGD1655336","PA14_27890","phnX_1"
"2222","PGD1655338","PA14_27900","phnR_2"
"2223","PGD1655340","PA14_27910","group_11878"
"2224","PGD1655342","PA14_27920","mlaA"
"2225","PGD1655344","PA14_27930","group_12251"
"2226","PGD1655346","PA14_27940","rssB_2"
"2227","PGD1655348","PA14_27950","group_9472"
"2228","PGD1655350","PA14_27960","tal"
"2229","PGD1655352","PA14_27980","dusA"
"2230","PGD1655354","PA14_27990","group_5402"
"2231","PGD1655356","PA14_28000","group_3225"
"2232","PGD1655358","PA14_28010","group_441"
"2233","PGD1655360","PA14_28020","group_662"
"2234","PGD1655362","PA14_28030","group_663"
"2235","PGD1655364","PA14_28040","group_12474"
"2236","PGD1655366","PA14_28050","group_9882"
"2237","PGD1655368","PA14_28060","cpg2"
"2238","PGD1655370","PA14_28070","group_12742"
"2239","PGD1655372","PA14_28080","group_2345"
"2240","PGD1655374","PA14_28090","group_12652"
"2241","PGD1655376","PA14_28100","group_1948"
"2242","PGD1655378","PA14_28110","group_3226"
"2243","PGD1655380","PA14_28120","group_10050"
"2244","PGD1655382","PA14_28130","group_11674"
"2245","PGD1655384","PA14_28140","group_10422"
"2246","PGD1655386","PA14_28150","group_1197"
"2247","PGD1655388","PA14_28170","yfdC"
"2248","PGD1655390","PA14_28180","puuB_4"
"2249","PGD1655394","PA14_28200","group_12223"
"2250","PGD1655396","PA14_28210","group_12692"
"2251","PGD1655398","PA14_28220","group_2346"
"2252","PGD1655400","PA14_28230","group_5403"
"2253","PGD1655402","PA14_28240","group_5404"
"2254","PGD1655404","PA14_28250","hel"
"2255","PGD1655406","PA14_28260","group_1199"
"2256","PGD1655408","PA14_28280","yddE_2"
"2257","PGD1655410","PA14_28290","group_664"
"2258","PGD1655412","PA14_28300","group_2347"
"2259","PGD1655414","PA14_28310","crt_2"
"2260","PGD1655416","PA14_28320","group_11253"
"2261","PGD1655418","PA14_28330","group_9383"
"2262","PGD1655420","PA14_28340","yfeX"
"2263","PGD1655422","PA14_28350","group_11224"
"2264","PGD1655424","PA14_28360","group_9592"
"2265","PGD1655426","PA14_28370","group_2349"
"2266","PGD1655428","PA14_28380","group_9198"
"2267","PGD1655430","PA14_28390","group_665"
"2268","PGD1655432","PA14_28400","oprD_3"
"2269","PGD1655434","PA14_28410","group_3796"
"2270","PGD1655436","PA14_28420","yhaJ_3"
"2271","PGD1655438","PA14_28430","group_12441"
"2272","PGD1655440","PA14_28440","group_2351"
"2273","PGD1655442","PA14_28450","eco"
"2274","PGD1655444","PA14_28460","group_12040"
"2275","PGD1655446","PA14_28470","group_9324"
"2276","PGD1655448","PA14_28490","yqjD_2"
"2277","PGD1655450","PA14_28500","group_10933"
"2278","PGD1655452","PA14_28510","yqaA"
"2279","PGD1655454","PA14_28520","group_2352"
"2280","PGD1655456","PA14_28530","group_3797"
"2281","PGD1655458","PA14_28540","group_3798"
"2282","PGD1655460","PA14_28560","group_3800"
"2283","PGD1655462","PA14_28570","nucM"
"2284","PGD1655464","PA14_28580","group_11941"
"2285","PGD1655466","PA14_28590","map_2"
"2286","PGD1655468","PA14_28600","group_12440"
"2287","PGD1655470","PA14_28610","group_12595"
"2288","PGD1655472","PA14_28620","group_10580"
"2289","PGD1655474","PA14_28630","rutD_2"
"2290","PGD1655476","PA14_28650","thrS"
"2291","PGD1655478","PA14_28660","infC"
"2292","PGD1655480","PA14_28670","rpmI"
"2293","PGD1655482","PA14_28680","rplT"
"2294","PGD1655484","PA14_28690","pheS"
"2295","PGD1655486","PA14_28710","pheT"
"2296","PGD1655488","PA14_28720","ihfA"
"2297","PGD1655490","PA14_28730","group_11704"
"2298","PGD1655494","PA14_28750","group_3803"
"2299","PGD1655496","PA14_28760","group_7984"
"2300","PGD1655498","PA14_28770","group_3804"
"2301","PGD1655500","PA14_28780","vapB_1"
"2302","PGD1655502","PA14_28790","group_7985"
"2303","PGD1655504","PA14_28800","group_3805"
"2304","PGD1655506","PA14_28810","rep_3"
"2305","PGD1655508","PA14_28820","group_7147"
"2306","PGD1655510","PA14_28830","group_7146"
"2307","PGD1655512","PA14_28840","deaD_1"
"2308","PGD1655514","PA14_28850","group_40"
"2309","PGD1655516","PA14_28870","group_3806"
"2310","PGD1655518","PA14_28880","group_911"
"2311","PGD1655520","PA14_28895","group_12083"
"2312","PGD1655522","PA14_28910","group_11936"
"2313","PGD1655524","PA14_28920","group_1207"
"2314","PGD1655526","PA14_28930","group_2354"
"2315","PGD1655528","PA14_28940","group_666"
"2316","PGD1655530","PA14_28950","group_2355"
"2317","PGD1655532","PA14_28960","group_2356"
"2318","PGD1655534","PA14_28970","group_5424"
"2319","PGD1655536","PA14_28980","group_7986"
"2320","PGD1655538","PA14_28990","group_11987"
"2321","PGD1655540","PA14_29000","group_12170"
"2322","PGD1655542","PA14_29010","group_12487"
"2323","PGD1655544","PA14_29020","cpo"
"2324","PGD1655546","PA14_29030","group_11860"
"2325","PGD1655548","PA14_29040","fdxA_2"
"2326","PGD1655550","PA14_29050","napA_2"
"2327","PGD1655552","PA14_29060","group_9737"
"2328","PGD1655554","PA14_29070","group_12194"
"2329","PGD1655556","PA14_29090","spuE_3"
"2330","PGD1655558","PA14_29100","rhtC_2"
"2331","PGD1655560","PA14_29110","cysK"
"2332","PGD1655562","PA14_29120","group_1209"
"2333","PGD1655564","PA14_29130","group_10466"
"2334","PGD1655566","PA14_29150","group_10092"
"2335","PGD1655568","PA14_29160","group_11601"
"2336","PGD1655570","PA14_29180","group_3113"
"2337","PGD1655572","PA14_29190","group_2357"
"2338","PGD1655574","PA14_29200","group_12644"
"2339","PGD1655576","PA14_29210","entS_2"
"2340","PGD1655578","PA14_29220","oprD_4"
"2341","PGD1655580","PA14_29230","nfdA_1"
"2342","PGD1655582","PA14_29240","ycaC_1"
"2343","PGD1655584","PA14_29250","group_2359"
"2344","PGD1655586","PA14_29260","rhaR_4"
"2345","PGD1655588","PA14_29270","group_11302"
"2346","PGD1655590","PA14_29280","group_3807"
"2347","PGD1655592","PA14_29290","group_10504"
"2348","PGD1655594","PA14_29300","nsrR"
"2349","PGD1655596","PA14_29320","group_11220"
"2350","PGD1655598","PA14_29330","group_3346"
"2351","PGD1655600","PA14_29340","group_11120"
"2352","PGD1655602","PA14_29350","pfeA_1"
"2353","PGD1655604","PA14_29360","pfeS_1"
"2354","PGD1655607","PA14_29390","group_2362"
"2355","PGD1655609","PA14_29400","rhsC"
"2356","PGD55179279","PA14_29405","group_2363"
"2357","PGD1655611","PA14_29410","thadh"
"2358","PGD1655613","PA14_29420","group_1212"
"2359","PGD1655615","PA14_29440","dmlR_13"
"2360","PGD1655617","PA14_29460","group_12284"
"2361","PGD1655619","PA14_29470","tam_1"
"2362","PGD1655621","PA14_29480","tagG"
"2363","PGD1655623","PA14_29490","hxcR_1"
"2364","PGD1655625","PA14_29500","epsF_2"
"2365","PGD1655627","PA14_29510","xcpT_2"
"2366","PGD1655629","PA14_29520","group_1213"
"2367","PGD1655631","PA14_29530","group_3808"
"2368","PGD1655633","PA14_29540","group_12568"
"2369","PGD1655635","PA14_29550","group_667"
"2370","PGD1655637","PA14_29560","group_442"
"2371","PGD1655639","PA14_29570","group_2365"
"2372","PGD1655641","PA14_29575","group_9988"
"2373","PGD1655643","PA14_29590","group_10925"
"2374","PGD1655645","PA14_29600","queD"
"2375","PGD1655647","PA14_29620","norR2"
"2376","PGD1655649","PA14_29640","hmp"
"2377","PGD1655651","PA14_29650","group_12145"
"2378","PGD1655653","PA14_29660","group_11990"
"2379","PGD1655655","PA14_29680","group_11872"
"2380","PGD1655657","PA14_29690","group_11390"
"2381","PGD1655659","PA14_29710","group_9607"
"2382","PGD1655661","PA14_29720","group_10260"
"2383","PGD1655663","PA14_29730","qseB_1"
"2384","PGD1655665","PA14_29740","sasA_9"
"2385","PGD1655667","PA14_29750","group_2367"
"2386","PGD1655669","PA14_29760","mcpU_1"
"2387","PGD1655671","PA14_29770","group_9819"
"2388","PGD1655673","PA14_29800","mcpP"
"2389","PGD1655675","PA14_29820","ydiK_1"
"2390","PGD1655677","PA14_29830","group_2368"
"2391","PGD1655679","PA14_29850","nuoN"
"2392","PGD1655681","PA14_29860","nuoM"
"2393","PGD1655683","PA14_29880","nuoL"
"2394","PGD1655685","PA14_29890","nuoK"
"2395","PGD1655687","PA14_29900","nuoJ"
"2396","PGD1655689","PA14_29920","nuoI"
"2397","PGD1655691","PA14_29930","nuoH"
"2398","PGD1655693","PA14_29940","nuoG"
"2399","PGD1655695","PA14_29970","group_7441"
"2400","PGD1655697","PA14_29980","nuoE"
"2401","PGD1655699","PA14_29990","nuoC"
"2402","PGD1655701","PA14_30010","nuoB"
"2403","PGD1655703","PA14_30020","ndhC_1"
"2404","PGD1655705","PA14_30030","group_1216"
"2405","PGD1655707","PA14_30040","group_11049"
"2406","PGD1655709","PA14_30050","group_11283"
"2407","PGD1655711","PA14_30070","group_10602"
"2408","PGD1655713","PA14_30080","group_12724"
"2409","PGD1655715","PA14_30090","group_10480"
"2410","PGD1655717","PA14_30100","roxA"
"2411","PGD1655719","PA14_30110","purB_2"
"2412","PGD1655721","PA14_30130","cntI_1"
"2413","PGD1655723","PA14_30140","hflD"
"2414","PGD1655725","PA14_30150","mnmA"
"2415","PGD1655727","PA14_30160","nudJ"
"2416","PGD1655729","PA14_30180","icd_1"
"2417","PGD1655731","PA14_30190","icd_2"
"2418","PGD1655733","PA14_30200","cspD"
"2419","PGD1655735","PA14_30210","clpS"
"2420","PGD1655737","PA14_30230","clpA"
"2421","PGD1655739","PA14_30240","infA"
"2422","PGD1655741","PA14_30260","bpt"
"2423","PGD1655743","PA14_30270","aat"
"2424","PGD1655745","PA14_30280","group_11036"
"2425","PGD1655747","PA14_30290","ftsK"
"2426","PGD1655749","PA14_30310","lolA"
"2427","PGD1655751","PA14_30320","rarA"
"2428","PGD1655753","PA14_30330","serS"
"2429","PGD1655755","PA14_30340","cysG_3"
"2430","PGD1655757","PA14_30350","yqjG"
"2431","PGD1655759","PA14_30360","trpD_2"
"2432","PGD1655761","PA14_30370","tusE"
"2433","PGD1655763","PA14_30380","tusB"
"2434","PGD1655765","PA14_30390","dsrF"
"2435","PGD1655767","PA14_30400","dsrE"
"2436","PGD1655769","PA14_30410","yccA"
"2437","PGD1655773","PA14_30430","glpE_2"
"2438","PGD1655775","PA14_30440","group_669"
"2439","PGD1655777","PA14_30450","yofA_1"
"2440","PGD1655779","PA14_30460","ssuD_2"
"2441","PGD1655781","PA14_30470","ssuA_3"
"2442","PGD1655783","PA14_30490","msuD_1"
"2443","PGD1655785","PA14_30500","ydbM"
"2444","PGD1655787","PA14_30520","ssuA_4"
"2445","PGD1655789","PA14_30540","ssuA_5"
"2446","PGD1655791","PA14_30550","ssuA_6"
"2447","PGD1655793","PA14_30560","group_11971"
"2448","PGD1655795","PA14_30570","spuE_4"
"2449","PGD1655797","PA14_30580","malT_4"
"2450","PGD1655799","PA14_30590","btuB_4"
"2451","PGD1655801","PA14_30600","group_11105"
"2452","PGD1655803","PA14_30620","group_307"
"2453","PGD1655805","PA14_30630","pqsH"
"2454","PGD1655807","PA14_30650","gacA"
"2455","PGD1655809","PA14_30660","uvrC"
"2456","PGD1655811","PA14_30670","pgsA"
"2457","PGD1655815","PA14_30690","group_5435"
"2458","PGD1655817","PA14_30700","rcsC_9"
"2459","PGD1655819","PA14_30710","proQ"
"2460","PGD1655823","PA14_30730","group_11044"
"2461","PGD1655825","PA14_30740","mdaB"
"2462","PGD1655827","PA14_30750","kynA"
"2463","PGD1655829","PA14_30760","group_2372"
"2464","PGD1655831","PA14_30770","lrpC_1"
"2465","PGD1655833","PA14_30790","group_673"
"2466","PGD1655835","PA14_30800","group_2373"
"2467","PGD1655837","PA14_30810","alkB1"
"2468","PGD1655839","PA14_30820","group_1224"
"2469","PGD1655841","PA14_30830","rssB_3"
"2470","PGD1655843","PA14_30840","group_311"
"2471","PGD1655845","PA14_30850","group_3396"
"2472","PGD1655847","PA14_30860","group_3395"
"2473","PGD1655849","PA14_30870","group_4801"
"2474","PGD1655851","PA14_30880","group_7143"
"2475","PGD1655853","PA14_30890","group_7987"
"2476","PGD1655855","PA14_30900","group_543"
"2477","PGD1655857","PA14_30910","virB4_2"
"2478","PGD1655859","PA14_30930","group_3195"
"2479","PGD1655861","PA14_30940","group_152"
"2480","PGD1655863","PA14_30950","group_537"
"2481","PGD1655865","PA14_30960","traG"
"2482","PGD1655867","PA14_30970","group_7140"
"2483","PGD1655869","PA14_30980","group_7139"
"2484","PGD1655871","PA14_30990","group_7138"
"2485","PGD1655873","PA14_31000","group_3506"
"2486","PGD1655875","PA14_31010","group_3046"
"2487","PGD1655877","PA14_31030","group_3047"
"2488","PGD1655879","PA14_31040","czcC_2"
"2489","PGD1655881","PA14_31050","group_7988"
"2490","PGD1655883","PA14_31060","group_1705"
"2491","PGD1655885","PA14_31070","group_3505"
"2492","PGD1655887","PA14_31080","group_7136"
"2493","PGD1655889","PA14_31090","group_3504"
"2494","PGD1655891","PA14_31100","group_140"
"2495","PGD1655893","PA14_31110","group_890"
"2496","PGD1655895","PA14_31130","group_7135"
"2497","PGD1655897","PA14_31150","group_3503"
"2498","PGD1655899","PA14_31160","group_3502"
"2499","PGD1655901","PA14_31170","group_7989"
"2500","PGD1655903","PA14_31180","group_3501"
"2501","PGD1655905","PA14_31190","group_7133"
"2502","PGD1655907","PA14_31200","group_3054"
"2503","PGD1655909","PA14_31220","group_7132"
"2504","PGD1655911","PA14_31230","group_3500"
"2505","PGD1655913","PA14_31240","group_7131"
"2506","PGD1655915","PA14_31250","group_368"
"2507","PGD1655917","PA14_31260","group_7130"
"2508","PGD1655919","PA14_31270","group_7129"
"2509","PGD1655921","PA14_31280","group_7128"
"2510","PGD1655923","PA14_31290","lecA"
"2511","PGD1655925","PA14_31300","group_675"
"2512","PGD1655927","PA14_31310","group_2374"
"2513","PGD1655929","PA14_31330","cph2"
"2514","PGD1655931","PA14_31340","group_1756"
"2515","PGD1655933","PA14_31350","sqr"
"2516","PGD1655935","PA14_31360","group_5045"
"2517","PGD1655937","PA14_31370","group_5046"
"2518","PGD1655939","PA14_31380","bicA"
"2519","PGD1655941","PA14_31390","group_3835"
"2520","PGD1655943","PA14_31400","ctpH"
"2521","PGD1655945","PA14_31420","group_2377"
"2522","PGD1655947","PA14_31430","group_3836"
"2523","PGD1655949","PA14_31440","group_3837"
"2524","PGD1655951","PA14_31450","group_677"
"2525","PGD1655953","PA14_31460","mgtC_1"
"2526","PGD1655955","PA14_31470","fadD3"
"2527","PGD1655957","PA14_31480","group_1226"
"2528","PGD1655959","PA14_31500","acsA_1"
"2529","PGD1655961","PA14_31510","group_1228"
"2530","PGD1655963","PA14_31530","thlA_2"
"2531","PGD1655965","PA14_31540","mmgC_2"
"2532","PGD1655967","PA14_31560","pcpR_5"
"2533","PGD1655969","PA14_31580","bbsG"
"2534","PGD1655971","PA14_31610","alx"
"2535","PGD1655973","PA14_31620","group_7990"
"2536","PGD1655975","PA14_31630","dmlR_14"
"2537","PGD1655977","PA14_31640","group_815"
"2538","PGD1655979","PA14_31650","xthA_2"
"2539","PGD1655981","PA14_31660","group_2382"
"2540","PGD1655983","PA14_31680","tamA"
"2541","PGD1655985","PA14_31690","tamB"
"2542","PGD1655987","PA14_31700","ynbA"
"2543","PGD1655989","PA14_31720","ynbC"
"2544","PGD1655991","PA14_31730","ynbD"
"2545","PGD1655993","PA14_31740","group_1232"
"2546","PGD1655995","PA14_31750","group_2384"
"2547","PGD1655997","PA14_31760","group_3845"
"2548","PGD1655999","PA14_31770","iolS"
"2549","PGD1656001","PA14_31780","dmlR_15"
"2550","PGD1656003","PA14_31800","alsT_2"
"2551","PGD1656005","PA14_31810","tpx"
"2552","PGD1656007","PA14_31820","pat"
"2553","PGD1656009","PA14_31840","group_1233"
"2554","PGD1656011","PA14_31850","group_3851"
"2555","PGD1656013","PA14_31870","mdtA_4"
"2556","PGD1656015","PA14_31890","mdtB_1"
"2557","PGD1656017","PA14_31900","mdtC_1"
"2558","PGD1656019","PA14_31920","ttgF"
"2559","PGD1656021","PA14_31930","group_1237"
"2560","PGD1656023","PA14_31950","czcS_1"
"2561","PGD1656025","PA14_31960","czcR_1"
"2562","PGD1656027","PA14_31970","czcC"
"2563","PGD1656029","PA14_31990","czcB"
"2564","PGD1656033","PA14_32060","rhaS_5"
"2565","PGD1656035","PA14_32080","cbdA"
"2566","PGD1656037","PA14_32100","cbdB"
"2567","PGD1656039","PA14_32110","benC"
"2568","PGD1656041","PA14_32130","lvr"
"2569","PGD1656043","PA14_32140","antC"
"2570","PGD1656045","PA14_32150","antB"
"2571","PGD1656047","PA14_32160","antA"
"2572","PGD1656049","PA14_32190","group_2386"
"2573","PGD1656051","PA14_32200","benM_2"
"2574","PGD1656053","PA14_32220","catB"
"2575","PGD1656055","PA14_32230","catC"
"2576","PGD1656057","PA14_32240","catA"
"2577","PGD1656059","PA14_32250","group_2387"
"2578","PGD1656061","PA14_32270","oprD_5"
"2579","PGD1656063","PA14_32280","group_3872"
"2580","PGD1656065","PA14_32290","group_1238"
"2581","PGD1656067","PA14_32300","group_680"
"2582","PGD1656069","PA14_32310","group_3873"
"2583","PGD1656071","PA14_32330","yycB_2"
"2584","PGD1656073","PA14_32340","guaD_2"
"2585","PGD1656075","PA14_32350","group_3875"
"2586","PGD1656077","PA14_32360","yofA_2"
"2587","PGD1656079","PA14_32370","group_3877"
"2588","PGD1656081","PA14_32380","ttgI_3"
"2589","PGD1656083","PA14_32390","oqxB7"
"2590","PGD1656085","PA14_32400","bepF_3"
"2591","PGD1656087","PA14_32410","nodD2_1"
"2592","PGD1656089","PA14_32420","tdh"
"2593","PGD1656091","PA14_32440","group_3881"
"2594","PGD1656093","PA14_32450","group_1240"
"2595","PGD1656095","PA14_32460","nimR_4"
"2596","PGD1656097","PA14_32470","group_2390"
"2597","PGD1656099","PA14_32480","group_3882"
"2598","PGD1656101","PA14_32490","group_681"
"2599","PGD1656103","PA14_32500","comR_2"
"2600","PGD1656105","PA14_32520","group_3884"
"2601","PGD1656107","PA14_32530","group_1242"
"2602","PGD1656109","PA14_32540","tsdA"
"2603","PGD1656111","PA14_32570","qseC_1"
"2604","PGD1656113","PA14_32580","qseB_2"
"2605","PGD1656115","PA14_32590","dsbD_1"
"2606","PGD1656117","PA14_32600","resA_1"
"2607","PGD1656119","PA14_32610","dsbG"
"2608","PGD1656121","PA14_32630","pksS"
"2609","PGD1656123","PA14_32640","group_3890"
"2610","PGD1656125","PA14_32650","nagL_1"
"2611","PGD1656127","PA14_32660","pcaK_2"
"2612","PGD1656129","PA14_32670","nagK"
"2613","PGD1656131","PA14_32690","sdgD"
"2614","PGD1656133","PA14_32700","gbpR_2"
"2615","PGD1656135","PA14_32710","fecI_4"
"2616","PGD1656137","PA14_32720","group_3897"
"2617","PGD1656139","PA14_32740","fhuA_2"
"2618","PGD1656141","PA14_32750","group_3899"
"2619","PGD1656143","PA14_32770","group_2391"
"2620","PGD1656145","PA14_32780","group_590"
"2621","PGD1656147","PA14_32790","group_3"
"2622","PGD1656149","PA14_32810","group_1"
"2623","PGD1656151","PA14_32820","group_4"
"2624","PGD1656153","PA14_32830","rhsC_2"
"2625","PGD1656155","PA14_32840","group_1947"
"2626","PGD1656157","PA14_32850","group_3499"
"2627","PGD1656159","PA14_32860","group_313"
"2628","PGD1656161","PA14_32880","group_314"
"2629","PGD1656163","PA14_32890","group_3900"
