locus,Gene
PA14_30590,btuB_4
PA14_30600,group_11105
PA14_30620,group_307
PA14_30630,pqsH
PA14_30650,gacA
PA14_30660,uvrC
PA14_30670,pgsA
PA14_30690,group_5435
PA14_30700,rcsC_9
PA14_30710,proQ
PA14_30730,group_11044
PA14_30740,mdaB
PA14_30750,kynA
PA14_30760,group_2372
PA14_30770,lrpC_1
PA14_30790,group_673
PA14_30800,group_2373
PA14_30810,alkB1
PA14_30820,group_1224
PA14_30830,rssB_3
PA14_30840,group_311
PA14_30850,group_3396
PA14_30860,group_3395
PA14_30870,group_4801
PA14_30880,group_7143
PA14_30890,group_7987
PA14_30900,group_543
PA14_30910,virB4_2
PA14_30930,group_3195
PA14_30940,group_152
PA14_30950,group_537
PA14_30960,traG
PA14_30970,group_7140
PA14_30980,group_7139
PA14_30990,group_7138
PA14_31000,group_3506
PA14_31010,group_3046
PA14_31030,group_3047
PA14_31040,czcC_2
PA14_31050,group_7988
PA14_31060,group_1705
PA14_31070,group_3505
PA14_31080,group_7136
PA14_31090,group_3504
PA14_31100,group_140
PA14_31110,group_890
PA14_31130,group_7135
PA14_31150,group_3503
PA14_31160,group_3502
PA14_31170,group_7989
PA14_31180,group_3501
PA14_31190,group_7133
PA14_31200,group_3054
PA14_31220,group_7132
PA14_31230,group_3500
PA14_31240,group_7131
PA14_31250,group_368
PA14_31260,group_7130
PA14_31270,group_7129
PA14_31280,group_7128
PA14_31290,lecA
PA14_31300,group_675
PA14_31310,group_2374
PA14_31330,cph2
PA14_31340,group_1756
PA14_31350,sqr
PA14_31360,group_5045
PA14_31370,group_5046
PA14_31380,bicA
PA14_31390,group_3835
PA14_31400,ctpH
PA14_31420,group_2377
PA14_31430,group_3836
PA14_31440,group_3837
PA14_31450,group_677
PA14_31460,mgtC_1
PA14_31470,fadD3
PA14_31480,group_1226
PA14_31500,acsA_1
PA14_31510,group_1228
PA14_31530,thlA_2
PA14_31540,mmgC_2
PA14_31560,pcpR_5
PA14_31580,bbsG
PA14_31610,alx
PA14_31620,group_7990
PA14_31630,dmlR_14
PA14_31640,group_815
PA14_31650,xthA_2
PA14_31660,group_2382
PA14_31680,tamA
PA14_31690,tamB
PA14_31700,ynbA
PA14_31720,ynbC
PA14_31730,ynbD
PA14_31740,group_1232
PA14_31750,group_2384
PA14_31760,group_3845
PA14_31770,iolS
PA14_31780,dmlR_15
PA14_31800,alsT_2
PA14_31810,tpx
PA14_31820,pat
PA14_31840,group_1233
PA14_31850,group_3851
PA14_31870,mdtA_4
PA14_31890,mdtB_1
PA14_31900,mdtC_1
PA14_31920,ttgF
PA14_31930,group_1237
PA14_31950,czcS_1
PA14_31960,czcR_1
PA14_31970,czcC
PA14_31990,czcB
PA14_32060,rhaS_5
PA14_32080,cbdA
PA14_32100,cbdB
PA14_32110,benC
PA14_32130,lvr
PA14_32140,antC
PA14_32150,antB
PA14_32160,antA
PA14_32190,group_2386
PA14_32200,benM_2
PA14_32220,catB
PA14_32230,catC
PA14_32240,catA
PA14_32250,group_2387
PA14_32270,oprD_5
PA14_32280,group_3872
PA14_32290,group_1238
PA14_32300,group_680
PA14_32310,group_3873
PA14_32330,yycB_2
PA14_32340,guaD_2
PA14_32350,group_3875
PA14_32360,yofA_2
PA14_32370,group_3877
PA14_32380,ttgI_3
PA14_32390,oqxB7
PA14_32400,bepF_3
PA14_32410,nodD2_1
PA14_32420,tdh
PA14_32440,group_3881
PA14_32450,group_1240
PA14_32460,nimR_4
PA14_32470,group_2390
PA14_32480,group_3882
PA14_32490,group_681
PA14_32500,comR_2
PA14_32520,group_3884
PA14_32530,group_1242
PA14_32540,tsdA
PA14_32570,qseC_1
PA14_32580,qseB_2
PA14_32590,dsbD_1
PA14_32600,resA_1
PA14_32610,dsbG
PA14_32630,pksS
PA14_32640,group_3890
PA14_32650,nagL_1
PA14_32660,pcaK_2
PA14_32670,nagK
PA14_32690,sdgD
PA14_32700,gbpR_2
PA14_32710,fecI_4
PA14_32720,group_3897
PA14_32740,fhuA_2
PA14_32750,group_3899
PA14_32770,group_2391
PA14_32780,group_590
PA14_32790,group_3
PA14_32810,group_1
PA14_32820,group_4
PA14_32830,rhsC_2
PA14_32840,group_1947
PA14_32850,group_3499
PA14_32860,group_313
PA14_32880,group_314
PA14_32890,group_3900
PA14_32905,fes
PA14_32930,group_3901
PA14_32940,tyrR_1
PA14_32950,nfdA_2
PA14_32970,dmlR_16
PA14_32985,gcvH_1
PA14_33000,gcvP_1
PA14_33010,glyA_1
PA14_33030,sdaB
PA14_33040,gcvT_1
PA14_33050,group_2392
PA14_33060,group_5439
PA14_33070,group_3910
PA14_33080,hflC_1
PA14_33110,group_3911
PA14_33120,group_3912
PA14_33130,cadA_2
PA14_33150,group_3913
PA14_33160,group_3914
PA14_33170,dmlR_17
PA14_33190,aaeB_3
PA14_33200,aaeX_2
PA14_33220,aaeA_3
PA14_33230,group_2394
PA14_33240,group_3919
PA14_33250,group_3920
PA14_33260,group_2395
PA14_33270,group_3921
PA14_33280,lgrB_1
PA14_33290,group_2396
PA14_33300,cas6f
PA14_33310,csy3
PA14_33320,csy2
PA14_33330,csy1
PA14_33340,cas3
PA14_33350,cas1
PA14_33360,group_7991
PA14_33370,group_9651
PA14_33380,group_3922
PA14_33410,oprD_6
PA14_33420,ycaC_2
PA14_33430,group_1249
PA14_33440,dmlR_18
PA14_33450,treA
PA14_33460,group_2398
PA14_33480,group_3925
PA14_33500,dat
PA14_33510,mbtH
PA14_33520,lgrE_2
PA14_33530,group_3927
PA14_33540,znuB_1
PA14_33550,znuC_1
PA14_33560,psaA
PA14_33570,group_1253
PA14_33580,group_3931
PA14_33590,group_1254
PA14_33600,group_235
PA14_33610,dltA_3
PA14_33630,grsB
PA14_33650,tycC
PA14_33680,fpvA_2
PA14_33690,yojI
PA14_33700,purN_1
PA14_33710,egtB
PA14_33720,cefD_1
PA14_33730,group_684
PA14_33740,group_3935
PA14_33750,ttgC
PA14_33760,macB_2
PA14_33770,macA
PA14_33780,group_3936
PA14_33800,fecI_5
PA14_33810,pvdA
PA14_33820,pvdQ
PA14_33830,group_9312
PA14_33840,gcvA_4
PA14_33860,lldD_1
PA14_33870,group_12281
PA14_33880,group_2404
PA14_33890,iorA_1
PA14_33900,iorB_1
PA14_33910,group_2405
PA14_33920,degU_2
PA14_33930,group_10640
PA14_33940,group_2407
PA14_33960,vgrG1_3
PA14_33970,group_5449
PA14_33980,group_3233
PA14_33990,clpV1_2
PA14_34000,group_686
PA14_34010,group_688
PA14_34020,group_1258
PA14_34030,hcp1_2
PA14_34050,group_11628
PA14_34070,group_9682
PA14_34080,group_11903
PA14_34100,group_12001
PA14_34110,group_10666
PA14_34130,group_689
PA14_34140,group_12241
PA14_34150,sfnR_2
PA14_34170,group_2408
PA14_34180,sfnF
PA14_34190,msuD_2
PA14_34200,sfnC_2
PA14_34210,sfnR_3
PA14_34230,zapE_1
PA14_34250,glpQ_2
PA14_34260,metI
PA14_34270,metN_1
PA14_34280,metQ_2
PA14_34290,dmoA_1
PA14_34300,soxC_1
PA14_34320,soxC_2
PA14_34330,group_10288
PA14_34340,RBKS
PA14_34350,xylB
PA14_34360,por
PA14_34370,malK
PA14_34390,ngcG
PA14_34410,lacF
PA14_34420,group_2412
PA14_34440,rhaS_6
PA14_34450,mtrA_2
PA14_34460,group_10460
PA14_34490,group_10524
PA14_34500,nrtD_1
PA14_34510,group_3943
PA14_34520,cmpB
PA14_34540,dmoA_2
PA14_34550,soxC_3
PA14_34580,sfnC_3
PA14_34600,gapN
PA14_34610,group_1270
PA14_34630,gntT
PA14_34640,group_3949
PA14_34660,gntR_1
PA14_34670,group_1273
PA14_34680,puuB_5
PA14_34690,pgrR_3
PA14_34700,estB_2
PA14_34710,nepI
PA14_34720,group_7993
PA14_34730,sutR_2
PA14_34740,group_3952
PA14_34750,tauD_2
PA14_34770,group_3954
PA14_34780,cmpD
PA14_34790,group_3956
PA14_34800,eamB
PA14_34810,lgrB_2
PA14_34820,group_2416
PA14_34830,group_3958
PA14_34840,dltA_4
PA14_34850,group_3959
PA14_34870,group_3960
PA14_34880,nagR_2
PA14_34900,aprA_1
PA14_34920,group_3963
PA14_34930,group_2418
PA14_34940,group_2419
PA14_34960,oprB_3
PA14_34970,gcd
PA14_34990,btuB_6
PA14_35000,group_1279
PA14_35010,group_1280
PA14_35020,htpX_2
PA14_35030,group_3968
PA14_35040,group_2421
PA14_35050,group_449
PA14_35060,group_3969
PA14_35070,group_2422
PA14_35080,arsH
PA14_35100,arsC
PA14_35110,arsB
PA14_35130,arsR2
PA14_35140,rhaS_7
PA14_35150,adhA
PA14_35160,group_3973
PA14_35170,soxR_1
PA14_35190,pbpC
PA14_35200,group_3976
PA14_35210,tetC_1
PA14_35230,group_1287
PA14_35240,pyrG_2
PA14_35250,group_3977
PA14_35270,group_2424
PA14_35290,group_2425
PA14_35300,group_3978
PA14_35320,ghrB_2
PA14_35330,ttuB
PA14_35340,kdgK
PA14_35360,group_2427
PA14_35370,kdgR_2
PA14_35380,pgrR_4
PA14_35390,cc4_1
PA14_35400,hpaB_2
PA14_35420,group_3983
PA14_35430,group_1291
PA14_35440,ansA
PA14_35460,alsT_3
PA14_35470,group_3986
PA14_35490,lpdV
PA14_35500,bkdB
PA14_35520,bkdA2
PA14_35530,bkdA1
PA14_35540,lrp_2
PA14_35550,group_7994
PA14_35570,group_3993
PA14_35590,kstD
PA14_35600,group_3994
PA14_35620,murJ_1
PA14_35630,group_3996
PA14_35640,group_3997
PA14_35650,group_1296
PA14_35670,group_2428
PA14_35680,mshA_3
PA14_35690,group_3999
PA14_35700,group_1946
PA14_35710,group_7995
PA14_35720,group_7996
PA14_35730,group_7997
PA14_35740,group_319
PA14_35750,group_7710
PA14_35760,group_7998
PA14_35770,group_4014
PA14_35780,group_4009
PA14_35790,hss
PA14_35800,group_2435
PA14_35810,group_2432
PA14_35820,xerC_1
PA14_35830,smc_1
PA14_35840,group_5778
PA14_35850,group_5779
PA14_35860,puuP_3
PA14_35880,prr
PA14_35890,ectB
PA14_35900,group_2455
PA14_35920,actP_2
PA14_35930,group_7999
PA14_35940,group_4037
PA14_35950,gno
PA14_35970,carC
PA14_35980,group_2457
PA14_35990,group_323
PA14_36000,norR_1
PA14_36010,group_4039
PA14_36020,yebT_1
PA14_36030,pqiA_1
PA14_36050,group_4041
PA14_36060,group_4042
PA14_36070,rhmD
PA14_36080,rhmT
PA14_36090,nicP_7
PA14_36100,pdxA2
PA14_36110,group_4047
PA14_36120,garP
PA14_36130,group_700
PA14_36150,group_2458
PA14_36170,group_4049
PA14_36180,gbpR_3
PA14_36190,group_4051
PA14_36200,mltF_4
PA14_36220,gltJ_1
PA14_36230,yecS_2
PA14_36250,group_2459
PA14_36260,group_5454
PA14_36270,garR_2
PA14_36280,group_4055
PA14_36290,curA
PA14_36300,nemR_1
PA14_36310,hcnC_1
PA14_36320,hcnB_1
PA14_36330,hcnA
PA14_36345,group_459
PA14_36350,clpP_2
PA14_36360,group_4063
PA14_36370,gshA_1
PA14_36375,group_240
PA14_36390,prmC_2
PA14_36400,group_462
PA14_36410,yohC_1
PA14_36420,rcsC_10
PA14_36450,group_4064
PA14_36460,group_2467
PA14_36470,group_2468
PA14_36480,group_5455
PA14_36490,group_4065
PA14_36500,group_4066
PA14_36520,group_4067
PA14_36530,group_4068
PA14_36540,group_2470
PA14_36550,group_2471
PA14_36560,group_5456
PA14_36570,glgA
PA14_36580,treZ
PA14_36590,malQ
PA14_36605,treY
PA14_36620,group_4072
PA14_36630,glgX
PA14_36650,hrp1_2
PA14_36660,group_7594
PA14_36670,group_3417
PA14_36680,group_4075
PA14_36690,clsB
PA14_36700,ybhN
PA14_36710,glgB
PA14_36730,group_4078
PA14_36740,glgE2
PA14_36760,ku
PA14_36770,group_4080
PA14_36780,group_2474
PA14_36790,group_2475
PA14_36810,katE
PA14_36820,group_4082
PA14_36830,group_4084
PA14_36840,malP
PA14_36850,group_2476
PA14_36860,group_4086
PA14_36870,ydaD
PA14_36880,pncC_2
PA14_36890,group_4089
PA14_36900,group_4090
PA14_36910,ligD
PA14_36920,group_2477
PA14_36930,group_4092
PA14_36940,group_5097
PA14_36960,group_4093
PA14_36980,group_2478
PA14_36990,pdeB_2
PA14_37000,yadV_4
PA14_37010,group_708
PA14_37030,elfC
PA14_37040,yadV_5
PA14_37060,group_2479
PA14_37070,group_4096
PA14_37080,ybdM
PA14_37090,gbsA
PA14_37100,betA_1
PA14_37120,dmlR_19
PA14_37130,group_965
PA14_37140,leuO
PA14_37150,group_2480
PA14_37170,group_5098
PA14_37190,ada_2
PA14_37200,group_466
PA14_37210,group_710
PA14_37220,hdfR_3
PA14_37250,yjhB_1
PA14_37260,nicP_8
PA14_37270,pxpA3_1
PA14_37290,pxpB_2
PA14_37310,pxpC_2
PA14_37320,group_4107
PA14_37340,ydaP
PA14_37350,group_2485
PA14_37360,group_3235
PA14_37370,lipR
PA14_37380,group_2487
PA14_37400,group_2488
PA14_37410,group_4114
PA14_37420,group_4115
PA14_37430,fecI_6
PA14_37440,pbuE_3
PA14_37460,group_6067
PA14_37470,ssuD_3
PA14_37490,pfeA_2
PA14_37510,tam_2
PA14_37520,group_4120
PA14_37530,group_4121
PA14_37550,cmtAc
PA14_37560,asnO_2
PA14_37570,cmtAb
PA14_37580,lrp_3
PA14_37590,kynB
PA14_37610,kynU
PA14_37630,aroP_2
PA14_37640,group_2491
PA14_37650,group_4127
PA14_37660,catM
PA14_37670,group_2493
PA14_37680,group_242
PA14_37690,group_3463
PA14_37710,fusB
PA14_37730,btuB_7
PA14_37745,novN
PA14_37760,hcaT_1
PA14_37770,group_4132
PA14_37780,group_4133
PA14_37790,copA_2
PA14_37810,copB
PA14_37820,group_4135
PA14_37830,iscS_2
PA14_37840,yejF_1
PA14_37850,yejE_1
PA14_37870,yejB_1
PA14_37880,group_4137
PA14_37900,btuB_8
PA14_37910,pgrR_5
PA14_37915,efpA
PA14_37940,cynR_3
PA14_37950,cynT_2
PA14_37965,cynS
PA14_37980,fecR_4
PA14_37990,fecI_7
PA14_38000,group_8000
PA14_38010,group_919
PA14_38020,group_1321
PA14_38040,rhaS_8
PA14_38050,group_1322
PA14_38060,yidD
PA14_38080,group_4145
PA14_38090,group_2498
PA14_38110,sstT
PA14_38130,puuP_4
PA14_38140,puuA_3
PA14_38160,group_2499
PA14_38170,group_2500
PA14_38180,group_5459
PA14_38190,group_1803
PA14_38200,ilvG
PA14_38210,cmoA_1
PA14_38220,group_2501
PA14_38250,norG_3
PA14_38260,group_2502
PA14_38270,group_712
PA14_38290,group_2503
PA14_38300,decR
PA14_38310,group_2504
PA14_38320,group_2505
PA14_38330,garB
PA14_38340,group_2506
PA14_38350,gtaB
PA14_38360,rkpK_2
PA14_38370,group_4154
PA14_38380,ttgR
PA14_38395,acrE
PA14_38410,acrB_1
PA14_38420,yjiK_3
PA14_38430,cueR
PA14_38440,mmgC_3
PA14_38460,group_4158
PA14_38470,menB_1
PA14_38480,accA1_2
PA14_38490,liuE
PA14_38500,kdgR_3
PA14_38510,hmgA
PA14_38530,group_2508
PA14_38550,nagL_2
PA14_38560,pcaK_3
PA14_38570,norR_2
PA14_38580,group_1329
PA14_38590,bdhA
PA14_38610,atoE
PA14_38630,phaA
PA14_38640,scoB
PA14_38660,scoA
PA14_38680,gltC_4
PA14_38690,acsA_2
PA14_38700,ppiC_2
PA14_38710,group_4172
PA14_38720,group_4173
PA14_38730,yhhS
PA14_38740,sasA_11
PA14_38750,dhaT_2
PA14_38770,group_4176
PA14_38780,pqqE
PA14_38790,pqqD
PA14_38800,pqqC
PA14_38820,pqqB
PA14_38825,pqqA
PA14_38840,adh_3
PA14_38850,group_4181
PA14_38860,exaA
PA14_38880,pipB2
PA14_38900,exaE
PA14_38910,liaS
PA14_38920,group_1330
PA14_38930,degU_3
PA14_38950,group_4185
PA14_38970,rcsC_11
PA14_38990,group_4186
PA14_39000,group_717
PA14_39010,group_2515
PA14_39020,eptA_2
PA14_39050,brnQ_1
PA14_39060,group_4187
PA14_39070,group_2517
PA14_39080,group_4188
PA14_39090,group_2518
PA14_39100,hpcD_2
PA14_39110,group_2520
PA14_39130,ybiT
PA14_39140,group_2521
PA14_39150,azoR1_1
PA14_39160,dmlR_20
PA14_39180,group_719
PA14_39190,uppP
PA14_39200,pnuC
PA14_39210,group_4193
PA14_39220,group_1661
PA14_39230,group_4194
PA14_39240,group_1335
PA14_39250,group_4195
PA14_39260,group_2522
PA14_39270,group_4196
PA14_39280,rbsK
PA14_39300,rbsR
PA14_39320,rbsC
PA14_39330,araG
PA14_39350,rbsB
PA14_39360,zraR_1
PA14_39390,group_4203
PA14_39410,group_4204
PA14_39420,group_2523
PA14_39440,group_4205
PA14_39460,group_2524
PA14_39470,group_7257
PA14_39480,group_7256
PA14_39500,group_825
PA14_39520,paoC
PA14_39530,paoB
PA14_39540,paoA
PA14_39560,bdlA_1
PA14_39570,group_1662
PA14_39580,rimJ
PA14_39590,metE
PA14_39610,group_2975
PA14_39620,group_4558
PA14_39630,group_4559
PA14_39640,cobN_2
PA14_39650,cirA
PA14_39660,tam_3
PA14_39670,group_8002
PA14_39690,nrdD
PA14_39700,group_826
PA14_39710,queE_1
PA14_39720,puuB_7
PA14_39730,group_4562
PA14_39750,mtr_1
PA14_39770,group_1668
PA14_39780,group_1670
PA14_39790,group_4564
PA14_39800,fecI_8
PA14_39810,fecR_5
PA14_39820,fcuA
PA14_39830,group_4568
PA14_39850,yfcJ
PA14_39860,group_4571
PA14_39870,group_920
PA14_39880,phzG_2
PA14_39890,phzF_2
PA14_39910,menF_2
PA14_39925,phzD2_2
PA14_39945,aroH_3
PA14_39960,phzB2
PA14_39970,phzA2
PA14_39980,anoR
PA14_39990,group_2526
PA14_40010,group_9255
PA14_40020,group_8003
PA14_40030,group_721
PA14_40040,quiP_2
PA14_40050,group_2527
PA14_40060,group_2528
PA14_40070,gstB_2
PA14_40080,group_2529
PA14_40100,group_4207
PA14_40110,group_4208
PA14_40120,polB
PA14_40130,ttr
PA14_40150,group_12750
PA14_40160,ndhC_2
PA14_40170,gdx_2
PA14_40180,iorA_2
PA14_40200,iorB_2
PA14_40210,group_10845
PA14_40220,group_2530
PA14_40230,prsE_2
PA14_40240,apxIB_2
PA14_40250,group_722
PA14_40260,group_104
PA14_40270,zntB_1
PA14_40280,group_9463
PA14_40290,lasA
PA14_40300,group_2532
PA14_40310,acpP_3
PA14_40320,sctC_1
PA14_40330,xcpP_2
PA14_40340,group_2534
PA14_40350,dinG_1
PA14_40370,fan1
PA14_40380,rutR_3
PA14_40390,modA
PA14_40410,modB
PA14_40420,btuD_3
PA14_40430,group_2535
PA14_40440,dmlR_21
PA14_40450,group_3238
PA14_40470,trkI_2
PA14_40490,yedI
PA14_40510,ccoN1_2
PA14_40520,group_724
PA14_40540,IMPDH_2
PA14_40550,hdfR_4
PA14_40560,group_12183
PA14_40570,group_9729
PA14_40600,rhaS_9
PA14_40610,group_2536
PA14_40620,rfnT
PA14_40630,nfuA
PA14_40640,group_12106
PA14_40650,group_2537
PA14_40660,group_10722
PA14_40670,metH
PA14_40690,group_11027
PA14_40700,proX
PA14_40710,group_2539
PA14_40730,rlmN_2
PA14_40740,group_12461
PA14_40750,group_1338
PA14_40770,sir_3
PA14_40780,group_9842
PA14_40790,group_9178
PA14_40800,group_11901
PA14_40820,group_9734
PA14_40830,yhfP
PA14_40840,sohB
PA14_40850,group_10071
PA14_40860,group_10839
PA14_40880,group_11737
PA14_40890,fabG_6
PA14_40900,fabG_7
PA14_40910,benM_3
PA14_40930,group_10846
PA14_40940,yfcA
PA14_40950,nudC_2
PA14_40960,group_1342
PA14_40980,crt_3
PA14_41000,nhaB
PA14_41010,adiC
PA14_41020,adiA
PA14_41030,group_10899
PA14_41050,dnaQ
PA14_41060,rnhA
PA14_41070,group_9620
PA14_41080,gloB_1
PA14_41090,mltD
PA14_41110,group_11659
PA14_41130,group_10327
PA14_41140,yejB_2
PA14_41150,yejE_2
PA14_41160,yejF_2
PA14_41170,fabI
PA14_41190,ppiD
PA14_41210,hupB_1
PA14_41220,lon_1
PA14_41230,clpX_2
PA14_41240,clpP_3
PA14_41250,tig
PA14_41260,rstA
PA14_41270,rstB
PA14_41280,dap
PA14_41290,group_3239
PA14_41300,group_9516
PA14_41350,folD
PA14_41360,cysS
PA14_41380,glnS
PA14_41390,ppiB
PA14_41400,lpxH_2
PA14_41420,group_1346
PA14_41430,group_12578
PA14_41440,uspE_1
PA14_41450,group_10455
PA14_41470,acnB
PA14_41480,nrtA
PA14_41490,pdtaR
PA14_41500,alyA_1
PA14_41510,nasA
PA14_41520,pknD_2
PA14_41530,nasD
PA14_41540,hcaC
PA14_41560,nasA_1
PA14_41563,sumT
PA14_41570,oprF
PA14_41575,sigW
PA14_41590,group_10109
PA14_41610,group_2548
PA14_41630,zntB_2
PA14_41640,group_11010
PA14_41650,group_2549
PA14_41670,ppsA
PA14_41680,ppsR
PA14_41690,group_11733
PA14_41710,group_9303
PA14_41730,group_10746
PA14_41740,group_11896
PA14_41750,group_11151
PA14_41760,group_2550
PA14_41780,group_2551
PA14_41790,group_9397
PA14_41800,malT_5
PA14_41810,malT_6
PA14_41820,pabB
PA14_41830,thrH
PA14_41840,cysH
PA14_41860,group_12696
PA14_41870,cysB
PA14_41880,group_9179
PA14_41900,group_11864
PA14_41910,group_2553
PA14_41920,aroF_2
PA14_41930,group_2554
PA14_41950,fadB_3
PA14_41960,group_1348
PA14_41970,group_9300
PA14_41980,group_10371
PA14_41990,group_12210
PA14_42000,group_2555
PA14_42010,group_10211
PA14_42020,group_9794
PA14_42030,group_12734
PA14_42050,yajO_2
PA14_42060,pgrR_6
PA14_42080,fadJ
PA14_42090,fadA_4
PA14_42100,group_2556
PA14_42120,group_12418
PA14_42130,group_11908
PA14_42140,group_11206
PA14_42150,group_9205
PA14_42160,group_10701
PA14_42180,group_2557
PA14_42200,group_9313
PA14_42220,group_728
PA14_42230,group_10421
PA14_42250,yscL
PA14_42260,yscK
PA14_42270,yscJ
PA14_42280,yscI
PA14_42290,group_11753
PA14_42300,pscG
PA14_42310,pscF
PA14_42320,pscE
PA14_42340,yscD
PA14_42350,sctC_2
PA14_42360,yscB
PA14_42380,group_11914
PA14_42390,exsA
PA14_42400,exsB
PA14_42410,group_469
PA14_42430,exsC
PA14_42440,yopD
PA14_42450,yopB
PA14_42460,ipgC
PA14_42470,lcrV
PA14_42480,group_11927
PA14_42490,group_10321
PA14_42500,invA
PA14_42510,yscY
PA14_42520,yscX
PA14_42530,sycN
PA14_42540,tyeA
PA14_42550,yopN
PA14_42570,yscN
PA14_42580,group_12064
PA14_42600,group_1351
PA14_42610,yscQ
PA14_42620,spaP
PA14_42630,spaQ
PA14_42640,spaR
PA14_42660,yscU
PA14_42670,mdoB_1
PA14_42680,group_11793
PA14_42690,speE_2
PA14_42700,alkA
PA14_42710,group_2564
PA14_42720,mtnC
PA14_42730,mtnD
PA14_42740,mtnB
PA14_42750,hcaT_2
PA14_42760,aroC
PA14_42770,group_12390
PA14_42780,group_10069
PA14_42790,prmB
PA14_42820,sttH_2
PA14_42830,group_12616
PA14_42840,smrA
PA14_42850,folE_2
PA14_42860,group_11319
PA14_42870,group_2568
PA14_42880,pknD_3
PA14_42890,prpC_2
PA14_42900,group_2569
PA14_42910,group_11248
PA14_42920,group_11250
PA14_42940,group_12383
PA14_42950,group_1353
PA14_42960,group_1354
PA14_42970,zraR_2
PA14_42980,clpV1_3
PA14_42990,group_10982
PA14_43000,group_2571
PA14_43020,group_12029
PA14_43030,group_10823
PA14_43040,group_12412
PA14_43050,group_10861
PA14_43070,group_9746
PA14_43080,vgrG1_5
PA14_43090,group_5465
PA14_43100,group_5466
PA14_43110,yfcG_1
PA14_43130,lysN
PA14_43140,group_9429
PA14_43150,group_11915
PA14_43160,ydcO
PA14_43170,panS_2
PA14_43180,linC
PA14_43190,yfmJ
PA14_43200,group_2572
PA14_43220,mcpQ_2
PA14_43230,group_11705
PA14_43240,group_2573
PA14_43250,group_12506
PA14_43270,selU
PA14_43280,selD
PA14_43290,group_9195
PA14_43300,group_10513
PA14_43310,group_10068
PA14_43320,glsA2
PA14_43340,kdpE
PA14_43350,kdpD
PA14_43370,kdpC
PA14_43380,kdpB
PA14_43400,kdpA
PA14_43405,group_9262
PA14_43420,mmgC_4
PA14_43430,tsaQ1
PA14_43440,paaF_2
PA14_43460,paaH_2
PA14_43480,lldR_2
PA14_43490,yycB_3
PA14_43510,ydiK_2
PA14_43520,group_10996
PA14_43530,yfcG_2
PA14_43540,menH_2
PA14_43550,group_10198
PA14_43570,rhtC_3
PA14_43580,rhaS_10
PA14_43600,group_10798
PA14_43610,group_11610
PA14_43620,sixA
PA14_43630,group_11741
PA14_43640,gpsA
PA14_43650,btuB_9
PA14_43660,group_1359
PA14_43670,barA_1
PA14_43680,fabA
PA14_43690,fabB
PA14_43710,group_2575
PA14_43720,group_9488
PA14_43730,group_10877
PA14_43740,group_1362
PA14_43760,group_325
PA14_43770,nicR
PA14_43780,nicA
PA14_43790,nicB_1
PA14_43810,nicB_2
PA14_43820,nimR_5
PA14_43830,panB_1
PA14_43840,group_11892
PA14_43850,htpG_1
PA14_43870,group_11885
PA14_43880,group_10047
PA14_43890,group_10484
PA14_43900,group_11062
PA14_43910,group_10364
PA14_43920,brnQ_2
PA14_43940,sucD
PA14_43950,sucC
PA14_43970,lpdG
PA14_44000,sucB
PA14_44010,sucA
PA14_44020,sdhB
PA14_44030,sdhA
PA14_44050,sdhD
PA14_44060,sdhC
PA14_44070,gltA
PA14_44080,group_11670
PA14_44090,group_9301
PA14_44100,group_12073
PA14_44110,group_11624
PA14_44120,garR_3
PA14_44130,group_10760
PA14_44140,ppnP
PA14_44150,group_1364
PA14_44160,group_1365
PA14_44170,group_12552
PA14_44180,cmpR_3
PA14_44190,glpT_1
PA14_44200,amnD
PA14_44210,puuB_8
PA14_44230,group_8004
PA14_44240,puuA_4
PA14_44260,puuB_9
PA14_44270,tusA_1
PA14_44280,rlmM
PA14_44290,acnA
PA14_44300,aer
PA14_44311,group_2578
PA14_44320,group_10415
PA14_44340,ccoN1_3
PA14_44350,group_9535
PA14_44360,ccoP1
PA14_44370,ccoN1_4
PA14_44380,group_11598
PA14_44390,group_2579
PA14_44400,ccoP2
PA14_44420,group_9240
PA14_44430,group_12459
PA14_44440,copA_3
PA14_44450,group_11973
PA14_44460,group_1368
PA14_44470,hemN
PA14_44480,group_12646
PA14_44490,anr
PA14_44500,apt
PA14_44510,group_10680
PA14_44520,mdtJ
PA14_44530,mdtI
PA14_44540,fabR_1
PA14_44560,group_2581
PA14_44570,sadH
PA14_44580,group_2582
PA14_44590,mmgC_5
PA14_44610,recR
PA14_44620,ybaB
PA14_44630,group_575
PA14_44640,group_739
PA14_44650,group_9575
PA14_44660,ligA
PA14_44670,zipA
PA14_44680,smc
PA14_44690,group_10770
PA14_44700,alkB2
PA14_44710,group_10606
PA14_44740,group_9838
PA14_44760,group_11672
PA14_44770,guaD_3
PA14_44780,group_11713
PA14_44800,adeP_1
PA14_44820,pucM
PA14_44830,group_11634
PA14_44840,uao
PA14_44850,alc
PA14_44860,allA
PA14_44880,group_11297
PA14_44890,hcpA_2
PA14_44900,group_11022
PA14_44910,group_1380
PA14_44920,group_3566
PA14_44930,group_2598
PA14_44950,uacT_2
PA14_44960,group_4257
PA14_44970,moaA_2
PA14_44980,rutR_4
PA14_44990,group_9187
PA14_45000,gcl
PA14_45010,hyi
PA14_45020,glxR_2
PA14_45030,ttuD
PA14_45050,ttuE
PA14_45060,group_2599
PA14_45070,group_10242
PA14_45090,group_12359
PA14_45100,group_12166
